pts_per_dir,ndofs,nnz,tol,maxiter,fp64_none_transfer_s,fp64_none_precond_s,fp64_none_solve_s,fp64_none_readback_s,fp64_none_status,fp64_none_converged,fp64_none_iters,fp64_none_relres,fp64_none_mean_abs_diff,fp64_none_max_abs_diff,fp64_jacobi_transfer_s,fp64_jacobi_precond_s,fp64_jacobi_solve_s,fp64_jacobi_readback_s,fp64_jacobi_status,fp64_jacobi_converged,fp64_jacobi_iters,fp64_jacobi_relres,fp64_jacobi_mean_abs_diff,fp64_jacobi_max_abs_diff,fp32_none_transfer_s,fp32_none_precond_s,fp32_none_solve_s,fp32_none_readback_s,fp32_none_status,fp32_none_converged,fp32_none_iters,fp32_none_relres,fp32_none_mean_abs_diff,fp32_none_max_abs_diff,fp32_jacobi_transfer_s,fp32_jacobi_precond_s,fp32_jacobi_solve_s,fp32_jacobi_readback_s,fp32_jacobi_status,fp32_jacobi_converged,fp32_jacobi_iters,fp32_jacobi_relres,fp32_jacobi_mean_abs_diff,fp32_jacobi_max_abs_diff,fp16_none_transfer_s,fp16_none_precond_s,fp16_none_solve_s,fp16_none_readback_s,fp16_none_status,fp16_none_converged,fp16_none_iters,fp16_none_relres,fp16_none_mean_abs_diff,fp16_none_max_abs_diff,fp16_jacobi_transfer_s,fp16_jacobi_precond_s,fp16_jacobi_solve_s,fp16_jacobi_readback_s,fp16_jacobi_status,fp16_jacobi_converged,fp16_jacobi_iters,fp16_jacobi_relres,fp16_jacobi_mean_abs_diff,fp16_jacobi_max_abs_diff
10,4401,64401,1e-05,5000,0.0006264160001592245,1.2789996617357247e-06,0.034678947999964294,3.7757000427518506e-05,converged,1,206,9.881958429419688e-06,3.37773576600779e-07,1.8549335843234815e-06,0.0006264160001592245,0.03200533000017458,0.03555659299945546,4.2873999518633354e-05,converged,1,186,9.899383867712627e-06,5.591953513858163e-07,3.7363123656947855e-06,0.0005321490007190732,8.380002327612601e-07,0.03258907500003261,4.640600036509568e-05,converged,0,209,3.459207514240564e-05,7.623499004214913e-07,3.3540538792731223e-06,0.0005321490007190732,0.0016230979999818373,0.033233166999707464,3.453800036368193e-05,converged,0,188,3.2962309815097256e-05,9.195890488398724e-07,4.303498895030962e-06,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan
12,8261,123581,1e-05,5000,0.0016784879999249824,8.899996828404255e-07,0.043280013000185136,6.610200034629088e-05,converged,1,262,9.897829892440596e-06,3.6860938294790345e-07,2.7979741665344615e-06,0.0016784879999249824,0.00029971200001455145,0.04395937099980074,7.096200079104165e-05,converged,1,252,9.654508754126691e-06,1.5288228611750622e-07,1.1574036600306425e-06,0.0009092139998756466,8.550005077267997e-07,0.0337968780004303,4.4937999518879224e-05,converged,0,265,5.43251811169018e-05,4.115417337043862e-07,2.8751767570146802e-06,0.0009092139998756466,0.0002853679998224834,0.03397207299985894,3.0168999728630297e-05,converged,0,255,5.3458185599569095e-05,2.231001352089676e-07,1.2478178889455994e-06,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan
14,13897,211033,1e-05,5000,0.0021927030002188985,9.109999155043624e-07,0.06087694500001817,6.529899928864324e-05,converged,1,335,9.22002225402073e-06,1.2866824470934627e-07,1.1407079627268057e-06,0.0021927030002188985,0.0003039369994439767,0.06302609900012612,8.690699996805051e-05,converged,1,302,8.886017555633314e-06,1.566908750505178e-07,1.280576760596952e-06,0.0013725879998673918,8.840006557875313e-07,0.06026980700062268,8.051499935390893e-05,converged,0,337,8.271503489291446e-05,5.536945993086045e-07,2.72125932745948e-06,0.0013725879998673918,0.0006197759994392982,0.054577046999838785,7.00210002833046e-05,converged,0,304,7.973181058112245e-05,5.573318731940043e-07,2.4828407483579173e-06,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan
16,21645,332277,1e-05,5000,0.0034043389996440965,9.840005077421665e-07,0.07187764199989033,8.083499960775953e-05,converged,1,390,8.920516197864263e-06,1.207827290126098e-07,1.2384006971011274e-06,0.0034043389996440965,0.0006664910006293212,0.07835213299949828,0.0001159209996330901,converged,1,351,9.119860383596727e-06,1.573642920663342e-07,1.4628284043388673e-06,0.0021839940000063507,9.570003385306336e-07,0.06603186199936317,8.307099960802589e-05,converged,0,392,0.00011752488975565886,7.498250105931477e-07,3.5099308697411624e-06,0.0021839940000063507,0.0003884130001097219,0.0624317069996323,7.369000013568439e-05,converged,0,353,0.00011285444172295167,7.675546162593147e-07,3.581671030594702e-06,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan
19,37962,589578,1e-05,5000,0.012530638000498584,8.380002327612601e-07,0.09354608499961614,0.00012814599995181197,converged,1,472,9.624479370243288e-06,1.0820726039988564e-07,1.3789137170081012e-06,0.012530638000498584,0.0003282100005890243,0.09794191299988597,0.000127811999846017,converged,1,424,9.506565828525973e-06,1.5265302586519558e-07,1.7057339616668998e-06,0.002506140999685158,9.940004019881599e-07,0.08019330099978106,9.376799971505534e-05,converged,0,474,0.00019716221272875762,1.9807373973765133e-06,9.781040349557402e-06,0.002506140999685158,0.00042681100057961885,0.07170439399942552,0.00015301999974326463,converged,0,426,0.00018467007963510554,1.9790702783935732e-06,9.751238027169706e-06,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan
23,70246,1102438,1e-05,5000,0.027101139000478724,1.3489998309523799e-06,0.1357553520001602,0.00036268599978939164,converged,1,581,9.487830705914783e-06,9.416674107498826e-08,1.3895019792611873e-06,0.027101139000478724,0.0006715370000165422,0.12788350299979356,0.00022243199964577798,converged,1,522,8.948652818398914e-06,1.4115378655236343e-07,1.8430085234263927e-06,0.004044625000460655,1.0609992386889644e-06,0.09337919199970202,0.0001405200000590412,converged,0,583,0.0003156385843041558,2.2216765574637907e-07,1.847313112427612e-06,0.004044625000460655,0.0003310409992991481,0.09033939500022825,0.00012978499944438227,converged,0,523,0.0002991075570221942,2.506701893337247e-07,1.8829138059249517e-06,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan,nan,nan,nan,nan,unsupported,0,0,nan,nan,nan
