example,file,refined,ndofs,nnz,spsolve_cpu_s,transfer_s,tol,maxiter,none_status,none_precond_s,none_solve_s,none_readback_s,none_total_s,none_converged,none_iters,none_relres,none_max_abs_diff,none_mean_abs_diff,none_speedup_total,jacobi_status,jacobi_precond_s,jacobi_solve_s,jacobi_readback_s,jacobi_total_s,jacobi_converged,jacobi_iters,jacobi_relres,jacobi_max_abs_diff,jacobi_mean_abs_diff,jacobi_speedup_total,ilu0_status,ilu0_precond_s,ilu0_solve_s,ilu0_readback_s,ilu0_total_s,ilu0_converged,ilu0_iters,ilu0_relres,ilu0_max_abs_diff,ilu0_mean_abs_diff,ilu0_speedup_total,block_jacobi_status,block_jacobi_precond_s,block_jacobi_solve_s,block_jacobi_readback_s,block_jacobi_total_s,block_jacobi_converged,block_jacobi_iters,block_jacobi_relres,block_jacobi_max_abs_diff,block_jacobi_mean_abs_diff,block_jacobi_speedup_total,polynomial_status,polynomial_precond_s,polynomial_solve_s,polynomial_readback_s,polynomial_total_s,polynomial_converged,polynomial_iters,polynomial_relres,polynomial_max_abs_diff,polynomial_mean_abs_diff,polynomial_speedup_total
3,ex03.py,1,2000,16576,0.002025,0.001199,1e-05,5000,converged,2e-06,0.029463,2e-05,0.030683,1,18,5.387e-06,0.0001196,3.787e-06,0.06599745787569664,converged,0.028095,0.002343,2e-05,0.031657,1,11,7.787e-06,9.925e-05,6.796e-06,0.06396689515746912,converged,0.047033,0.001512,1.9e-05,0.049764,1,1,2.631e-16,1.332e-15,1.008e-16,0.040692066554135514,converged,0.026292,0.003482,2.9e-05,0.031001,1,10,4.435e-06,8.056e-05,3.917e-06,0.06532047353311184,converged,0.001311,0.036323,2.2e-05,0.038854,1,98,3.749e-06,1.09e-05,1.93e-06,0.052118186029752406
3,ex03.py,2,7524,64900,0.012896,0.001156,1e-05,5000,converged,2e-06,0.028101,3.2e-05,0.029291,1,17,6.058e-06,0.0003986,3.505e-06,0.4402717558294356,converged,0.027047,0.002178,3.3e-05,0.030414,1,10,8.618e-06,0.0001633,5.315e-06,0.42401525613204444,converged,0.06735,0.009264,3e-05,0.077801,1,2,2.273e-09,5.253e-08,1.082e-09,0.16575622421305639,converged,0.026423,0.003639,6.3e-05,0.031282,1,10,7.441e-06,0.0001106,8.202e-06,0.4122498561473052,converged,0.001081,0.119645,3.1e-05,0.121914,1,339,9.4e-06,2.721e-05,3.965e-06,0.10577948389848582
3,ex03.py,3,16576,144976,0.034506,0.002023,1e-05,5000,converged,2e-06,0.028595,4.8e-05,0.030668,1,17,4.763e-06,0.0004461,2.27e-06,1.12514673275075,converged,0.035405,0.002545,5.4e-05,0.040027,1,10,5.832e-06,0.0001709,2.907e-06,0.86206810402978,converged,0.097553,0.007421,5.3e-05,0.10705,1,2,4.692e-09,6.057e-08,2.323e-09,0.3223353573096684,converged,0.045812,0.004111,0.000135,0.052081,1,9,5.613e-06,0.0004056,2.976e-06,0.662544882010714,converged,0.001437,0.354619,4.9e-05,0.358128,1,917,8.004e-06,1.877e-05,3.71e-06,0.09635102533172497
3,ex03.py,4,29156,256804,0.067897,0.002452,1e-05,5000,converged,2e-06,0.024639,7.1e-05,0.027164,1,16,9.929e-06,0.0008854,4.191e-06,2.499521425415992,converged,0.030024,0.002331,7.8e-05,0.034885,1,9,9.328e-06,0.0003962,3.671e-06,1.9463093019922604,converged,0.121692,0.007892,7.2e-05,0.132108,1,2,5.981e-09,7.816e-08,3.467e-09,0.5139507069973052,converged,0.031708,0.004946,0.000387,0.039494,1,10,5.026e-06,0.0001462,5.518e-06,1.7191725325365879,converged,0.001416,0.551786,0.000104,0.55576,1,1445,9.653e-06,2.592e-05,4.127e-06,0.12216964157190154
3,ex03.py,5,45264,400384,0.107581,0.003687,1e-05,5000,converged,2e-06,0.026324,0.000163,0.030176,1,16,8.496e-06,0.0009672,3.249e-06,3.5651179745493105,converged,0.032222,0.006048,0.000159,0.042117,1,9,7.631e-06,0.0003998,2.533e-06,2.5543367286368923,converged,0.167741,0.019472,0.000142,0.191042,1,2,6.513e-09,7.681e-08,3.989e-09,0.5631274798211912,converged,0.040146,0.003673,0.00037,0.047876,1,8,8.707e-06,0.0009283,3.384e-06,2.2470757790959976,converged,0.00139,1.015652,0.000141,1.02087,1,2623,9.892e-06,3.461e-05,4.068e-06,0.10538168424970859
