n,ndofs,nnz,spsolve_cpu_s,transfer_s,precond_s,gmres_s,readback_s,gpu_total_s,gpu_solve_only_s,speedup_total,speedup_solve_only,gmres_info,relres,converged
20,5832,79918,2.1512357000010525,0.001189806000184035,0.09111910200044804,0.08215220700003556,3.1232000765157863e-05,0.1744923470014328,0.1732713090004836,12.328538970155455,12.41541783466903,0,3.735439632733095e-13,1
30,21952,310798,2.424246061998929,0.003252862999943318,0.00045869399946241174,0.044818484000643366,6.0743001085938886e-05,0.048590784001135034,0.04527717800010578,49.891067037368664,53.54234007237079,0,2.3050012932520656e-13,1
40,54872,788878,22.212863335000293,0.021399715000370634,0.0003427299998293165,0.09383343400077138,0.00017078299970307853,0.1157466620006744,0.09417616400060069,191.90932119382302,235.86502562217984,0,4.770527969456501e-13,1
50,110592,1604158,131.5312917500014,0.02839319600025192,0.0005251980001048651,0.21419900700129801,0.00021341500178095885,0.24333081600343576,0.21472420500140288,540.5451471799784,612.5592210209467,0,4.019557793902145e-11,1
60,195112,2846638,512.3047386939998,0.03176196599997638,0.0005246559994702693,0.35973774699959904,0.00028980999923078343,0.3923141789982765,0.3602624029990693,1305.8532322285766,1422.0322032752422,0,1.2038812268921709e-08,1
